
Hyderabad,Theatre1,Movie1,Movie2,Movie3,10,20,15
Tirupati,Theatre2,Movie1,Movie2,Movie4,10,20,15
Hyderabad,Theatre3,Movie5,Movie3,Movie1,10,20,15
Mumbai,Theatre4,Movie6,Movie1,Movie2,10,20,15
Tirupati,Theatre5,Movie8,Movie1,Movie2,10,20,15
Mumbai,Theatre6,Movie9,Movie8,Movie4,10,20,15
Hyderabad,Theatre7,Movie10,Movie1,Movie3,10,20,15
City1,Theatre8,Movie1,Movie10,Movie5,10,20,15
CityN,TheatreN,Movie3,Movie8,Movie9,10,20,15
Tirupati,Theatre10,Movie2,Movie7,Movie6,10,20,15
Hyderabad,tnew,m1,m2,m3,10,20,15
CS23B,008,movieCS,Movie1,Movie2,15,25,30
